created_at,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,client,hashtags,urls,media_type,media_urls
4/7/24 20:50,'1777046344622088386',"here are two men with different builds, yet both look great in high-rise trousers https://t.co/mGWlfOW1Dq",en,Tweet,2107,72841,4117,304,2875822,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GKlWI_LawAAhC--.jpg,https://pbs.twimg.com/media/GKlWI_KbwAAaemE.jpg"
3/19/24 14:57,'1770087281979732114',"🌲 Ma façon de trouver la sérénité. Trouvez la paix au sein des forêts luxuriantes de Slovénie et des sommets imposants. Ici, la randonnée n'est pas seulement un voyage, c'est la découverte de la tranquillité à chaque pas. #ifeelsLOVEnia #myway #sloveniaoutdoor",fr,Tweet,6,49,4,1,316434,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#ifeelsLOVEnia,#myway,#sloveniaoutdoor",,,
4/7/24 19:38,'1777028171222913103',@niftyfifty2021 You look wonderful!! Congrats on getting married! I love this shade of pink.,en,Reply,12,4657,6,4,172340,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 5:11,'1776809993146355798',"Aside from the fact that this guy sells online courses on how to get rich, I will explain why it's obvious from his clothes that he's not an aristocrat but rather a middle-class striver. 🧵",en,Tweet,17825,62785,3767,642,18108599,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 9:42,'1776878139639242759',@bayneframework is your blood also off-the-rack?,en,Reply,726,31746,930,402,536592,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 9:39,'1776877538188702192',"@mo0onmouse @dexecuter18 in that photo, he's wearing something called ""morning dress,"" which is formal daytime attire. that attire has mostly died out except for very formal ceremonies, such for guests attending the royal coronation",en,Reply,29,915,4,10,44149,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 9:30,'1776875210115031090',"@dexecuter18 not every boomer is trying to dress like a European aristocrat and there are many strands of tailoring, so to get any kind of ""gotcha"" moment, you would have to know their dress intention and how that fits with that strand of history",en,Reply,69,6292,23,9,315389,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 8:58,'1776867036586471793',@DaveA_R https://t.co/3OpNBzPzlq,qme,Reply,30,107,3,2,22764,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/dieworkwear/status/1686571828041703424,,
4/7/24 7:39,'1776847184320987367',"@ohiopylecoffee You look great! Also, by ""Thurston,"" do you mean Albert Thurston, the British maker of suspenders? If so, yes, if you wear suspenders, they make good suspenders. Otherwise, I unfortunately don't know what ""Thurston"" means.",en,Reply,4,56,1,1,16705,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
4/7/24 7:27,'1776844229245124626',"@PolicyWorkshop3 That scene is meant to be a metaphor for socio-economic class, not an accurate representation of some specific trip. I also don't know why you think someone is being maligned if it's accurately pointed out they are not aristocratic. Some take that as a point of pride.",en,Reply,2,86,3,2,4582,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
